,campaign_id,start_date,end_date,project_name,num_leads,daily_budget,duration,budget,clicks,impressions_ins,reach_ins,spend,ctr,cpl
0,12077,2024-10-10,2024-10-11,Mountain View iCity October,1,1200,3,3600,20,737,704,508.27,2.7137042062415198,508.27
1,12079,2024-10-10,2024-10-13,Kings Way,3,1200,5,6000,230,7701,7138,1612.84,2.9866251136216078,537.6133333333333
2,12115,2024-10-11,2024-10-19,Kings Way,140,13481,10,134810,12522,458028,411847,52247.29,2.7338939977468626,373.1949285714286
3,12116,2024-10-11,2024-10-18,Kings Way,45,7367,9,66303,6411,323129,297937,20669.02,1.9840373349343452,459.31155555555557
4,12134,2024-10-11,2024-10-14,Kings Way,9,4000,6,24000,860,38861,35046,4518.38,2.2130156197730373,502.0422222222222
5,12139,2024-10-11,2024-10-12,Kings Way,1,1200,3,3600,110,2841,2645,777.11,3.8718760999648008,777.11
6,12142,2024-10-11,2024-10-12,Kings Way,1,1200,3,3600,65,4232,4029,763.92,1.5359168241965973,763.92
7,12331,2024-10-13,2024-10-19,Kings Way,107,7367,8,58936,10185,350825,336304,21942.22,2.9031568445806313,205.06747663551403
8,12332,2024-10-13,2024-10-19,Kings Way,123,7367,8,58936,24717,565983,546223,23122.97,4.3670922978252,187.99162601626017
9,12334,2024-10-13,2024-10-19,Kings Way,80,7367,8,58936,8340,379334,360587,23003.260000000002,2.1985901606499816,287.54075
10,12337,2024-10-13,2024-10-13,Kings Way,1,1200,3,3600,24,1025,994,298.71000000000004,2.341463414634146,298.71000000000004
11,13287,2024-10-23,2024-10-24,Garden City - NC - cityedge,3,1200,3,3600,685,6436,6052,523.53,10.643256681168427,174.51
12,13288,2024-10-23,2024-10-27,Garden City - NC - cityedge,17,1200,7,8400,3565,42729,39079,2550.37,8.3432797397552,150.02176470588233
13,13426,2024-10-24,2024-10-29,Il Monte Galala,4,1200,7,8400,1962,17257,14756,4108.96,11.369299414730255,1027.24
14,13427,2024-10-24,2024-11-03,Telal North Coast - PRE,11,1800,13,23400,2896,29636,26410,8406.5,9.771899041706034,764.2272727272727
15,13479,2024-10-27,2024-10-28,Garden City - NC - cityedge,1,1200,3,3600,268,3556,3329,658.25,7.536557930258718,658.25
16,13529,2024-10-28,2024-10-30,Badya - Palm Hills,1,1200,5,6000,536,14138,12232,1487.97,3.7912010185316167,1487.97
17,13530,2024-10-28,2024-10-31,Garden City - NC - cityedge,2,1200,5,6000,512,7023,6491,1816.68,7.290331767051119,908.34
18,13532,2024-10-28,2024-12-10,Badya - Palm Hills,70,2000,45,90000,16734,407629,349188,37909.83,4.105203506129348,541.5690000000001
19,13584,2024-10-29,2024-11-11,Garden City - NC - cityedge,25,2200,15,33000,4395,68442,64554,15495.93,6.421495572893837,619.8372
20,13669,2024-10-31,2024-11-02,Badya - Palm Hills,1,1200,5,6000,372,9582,8762,1419.5,3.8822792736380713,1419.5
21,13892,2024-11-07,2024-11-18,Hills of one - people & places,5,2000,11,22000,1007,34111,29453,8195.06,2.9521268798921168,1639.012
22,13893,2024-11-07,2024-11-12,Badya - Palm Hills,1,1200,7,8400,205,8218,7019,5007.41,2.494524215137503,5007.41
23,13896,2024-11-07,2024-11-15,Badya - Palm Hills,3,1200,10,12000,375,18451,16318,8026.83,2.032410167470598,2675.61
24,14145,2024-11-17,2024-11-18,[west] Skyrise - Binghatti,1,1500,5,7500,33,2372,2103,1352.23,1.391231028667791,1352.23
25,14206,2024-11-18,2024-11-21,[west] Skyrise - Binghatti,6,1200,5,6000,165,2210,1940,2062.86,7.46606334841629,343.81
26,11922,2024-10-09,2024-10-11,O West Orascom,2,1500,5,7500,33,1928,1738,2580.58,1.711618257261411,1290.29
27,12154,2024-10-11,2024-10-15,O West Orascom,5,1200,6,7200,180,11158,10208,2939.79,1.6131923283742604,587.958
28,7268,2024-06-09,2024-06-11,Plage,1,1200,5,6000,77,2197,2068,948.11,3.504779244424215,948.11
29,7269,2024-06-09,2024-06-11,Plage,1,1200,5,6000,175,4239,3931,1048.47,4.12833215380986,1048.47
30,7344,2024-06-13,2024-06-26,RAS ELHKEMA GENERAL - NC,36,1200,15,18000,770,45896,44732,9247.880000000001,1.6777061181802337,256.8855555555556
31,7345,2024-06-13,2024-06-14,RAS ELHKEMA GENERAL - NC,1,1200,3,3600,97,3807,3713,1147.51,2.5479380089309167,1147.51
32,7346,2024-06-13,2024-06-26,RAS ELHKEMA GENERAL - NC,69,1800,16,28800,1804,72156,69840,12243.77,2.5001385886135594,177.4459420289855
33,7508,2024-06-24,2024-06-26,RAS ELHKEMA GENERAL - NC,3,1200,5,6000,86,3661,3540,1433.4899999999998,2.349084949467359,477.8299999999999
34,8298,2024-07-18,2024-08-01,RAS ELHKEMA GENERAL - NC,31,1200,11,13200,571,20274,19545,6840.84,2.81641511295255,220.67225806451614
35,8302,2024-07-18,2024-07-24,RAS ELHKEMA GENERAL - NC,22,1200,8,9600,520,23887,22767,5939.55,2.1769163143132246,269.9795454545455
36,8303,2024-07-18,2024-07-19,RAS ELHKEMA GENERAL - NC,1,1200,3,3600,55,1963,1871,820.6200000000001,2.8018339276617423,820.6200000000001
37,8377,2024-07-19,2024-08-01,RAS ELHKEMA GENERAL - NC,24,1200,11,13200,579,16973,16033,6009.36,3.411300300477228,250.39
38,8703,2024-07-28,2024-07-29,RAS ELHKEMA GENERAL - NC,6,1800,5,9000,138,3437,3194,1376.54,4.015129473377946,229.42333333333332
39,8704,2024-07-28,2024-07-30,RAS ELHKEMA GENERAL - NC,3,1200,5,6000,95,4166,3963,957.28,2.2803648583773404,319.0933333333333
40,11372,2024-09-25,2024-10-01,HAPTown ,6,1200,9,10800,694,30939,28666,6093.05,2.243123565726106,1015.5083333333333
41,11437,2024-09-28,2024-10-01,HAPTown ,9,1200,5,6000,984,22784,20461,2113.2799999999997,4.318820224719102,234.80888888888887
42,11442,2024-09-28,2024-10-01,HAPTown ,5,1200,5,6000,808,16638,14675,2780.2400000000002,4.856352927034499,556.048
43,11443,2024-09-29,2024-10-01,HAPTown ,2,1200,5,6000,524,13407,12607,2113.1800000000003,3.90840605653763,1056.5900000000001
44,11465,2024-09-30,2024-10-01,HAPTown ,5,1200,5,6000,377,8112,7439,1108.79,4.647435897435898,221.75799999999998
45,11612,2024-10-02,2024-10-03,SODIC East,1,1200,3,3600,14,1197,1147,572.67,1.1695906432748537,572.67
46,11643,2024-10-03,2024-10-04,SODIC East,1,1200,3,3600,47,2733,2471,1005.18,1.7197219173069889,1005.18
47,11659,2024-10-03,2024-10-04,SODIC East,1,1200,3,3600,73,1546,1390,919.3399999999999,4.721862871927555,919.3399999999999
48,11666,2024-10-03,2024-10-05,Al Burouj,6,1200,5,6000,1382,14050,12651,1471.11,9.836298932384341,245.18499999999997
49,12091,2024-10-10,2024-10-15,SODIC East,6,1200,8,9600,79,3298,3042,3934.85,2.3953911461491817,655.8083333333333
50,12094,2024-10-10,2024-10-12,Marakez - Mindhaus,2,1200,5,6000,44,3671,3530,1297.81,1.198583492236448,648.905
51,12382,2024-10-14,2024-10-15,SODIC East,1,1200,5,6000,24,844,780,865.8,2.843601895734597,865.8
52,12482,2024-10-15,2024-10-15,SODIC East,2,1200,3,3600,11,649,621,1187.3600000000001,1.694915254237288,593.6800000000001
53,12565,2024-10-15,2024-10-16,Cairo Design District - one ninety - LMD,1,1200,3,3600,13,640,603,767.46,2.03125,767.46
54,12807,2024-10-17,2024-10-19,SODIC East,2,1200,5,6000,46,2347,2223,1239.52,1.9599488708990203,619.76
55,8490,2024-07-22,2024-07-23,Club Hills Residence - ZAYED by HDP,1,1200,3,3600,3,417,391,570.16,0.7194244604316548,570.16
56,7399,2024-06-22,2024-06-25,Telal Sokhna - PRE,12,1200,5,6000,2415,54919,47743,4241.86,4.397385240080847,353.4883333333333
57,7400,2024-06-22,2024-06-24,Telal Sokhna - PRE,58,1200,5,6000,2661,54753,46570,2640.03,4.860007670812559,45.51775862068966
58,7401,2024-06-22,2024-08-20,The Big business - Roya - New cairo,11,1200,5,6000,467,8909,7082,2794.83,5.241890223369626,254.07545454545453
59,7402,2024-06-22,2024-06-23,The Big business - Roya - New cairo,3,1200,7,8400,165,3321,2637,1110.21,4.9683830171635055,370.07
60,9462,2024-08-19,2024-08-20,Telal East - PRE,1,1200,3,3600,29,1105,984,622.76,2.6244343891402715,622.76
