campaign_id,campaign_name,cost,total_leads,qualified_leads,cpql,qualification_rate,ctr,total_score,action,recommendation
6493,Azha North Coast Ras El Hekma,689.1899999999999,1.0,1.0,689.1899999999999,1.0,0.06666666666666667,67,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6505,Mar Bay - Al Marasem Ras El Hekma,1335.63,2.0,2.0,667.815,1.0,0.022325052768306545,65,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6515,HAP - NC - new launch 2024,2969.15,4.0,4.0,742.2875,1.0,0.018389215347390252,72,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6518,arkan palm 205,2057.78,4.0,2.0,1028.89,0.5,0.013033175355450236,60,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6520,arkan palm 205,1660.56,5.0,3.0,553.52,0.6,0.014531195940491293,71,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6531,At East - Mostakbal City by Sabbour,508.96,1.0,1.0,508.96,1.0,0.03324915824915825,70,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6563,Mar Bay - Al Marasem Ras El Hekma,1755.29,4.0,3.0,585.0966666666667,0.75,0.01454555887078265,75,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6570,At East - Mostakbal City by Sabbour,1402.65,4.0,4.0,350.6625,1.0,0.028564570331253,77,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6571,At East - Mostakbal City by Sabbour,1928.31,3.0,3.0,642.77,1.0,0.017527509946593068,72,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6580,Mar Bay - Al Marasem Ras El Hekma,3893.24,4.0,3.0,1297.7466666666667,0.75,0.005482202146552389,63,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6582,Mar Bay - Al Marasem Ras El Hekma,4910.22,22.0,3.0,1636.74,0.13636363636363635,0.03992683564149464,62,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6586,Mountain view - mostakbal city,6510.02,44.0,11.0,591.82,0.25,0.03264665857762464,73,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6596,HAP - NC - new launch 2024,7568.870000000001,10.0,8.0,946.1087500000001,0.8,0.01888041108688882,64,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6605,Silversands - Ora Developments,7232.67,47.0,25.0,289.3068,0.5319148936170213,0.022418141449850187,78,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6629,Plage,806.1800000000001,1.0,1.0,806.1800000000001,1.0,0.01282452299030341,63,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6633,Plage,2795.5,5.0,3.0,931.8333333333334,0.6,0.01112393408988908,73,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6635,Plage,1404.5,2.0,2.0,702.25,1.0,0.009507494646680941,61,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6644,Plage,4119.42,14.0,6.0,686.57,0.42857142857142855,0.010143346064183325,73,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6664,Plage,6330.67,16.0,7.0,904.3814285714286,0.4375,0.0113091553802415,79,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6665,Plage,16578.76,29.0,10.0,1657.8759999999997,0.3448275862068966,0.010916322151865613,64,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6668,Plage,1427.69,2.0,2.0,713.845,1.0,0.011419952596423184,63,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6685,Plage,1667.93,3.0,2.0,833.965,0.6666666666666666,0.0112797807294961,64,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
6715,Mountain View iCity October,588.39,1.0,1.0,588.39,1.0,0.006713211600429645,65,CONTINUE_OPTIMIZE,Good performance - continue and test optimizations
