campaign_id,campaign_name,cost,total_leads,qualified_leads,cpql,qualification_rate,ctr,total_score,action,recommendation
7206,Mountain View iCity October,36291.06,86.0,30.0,1209.702,0.3488372093023256,0.020429656894007032,84,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7207,Mountain View iCity October,17389.16,85.0,32.0,543.41125,0.3764705882352941,0.01767173812816966,92,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7322,New Capital- General,6011.75,93.0,23.0,261.3804347826087,0.24731182795698925,0.06956653531373143,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7346,RAS ELHKEMA GENERAL - NC,12243.77,69.0,34.0,360.1108823529412,0.4927536231884058,0.025001385886135596,88,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7364,New Capital- General,5807.78,93.0,13.0,446.7523076923077,0.13978494623655913,0.04805728912024388,86,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7382,Silversands - Ora Developments,6368.0,61.0,33.0,192.96969696969697,0.5409836065573771,0.016269030464105202,86,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7391,Mar Bay - Al Marasem Ras El Hekma,11390.26,15.0,15.0,759.3506666666667,1.0,0.02310128843268475,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7440,Azha North Coast Ras El Hekma,42375.23,75.0,24.0,1765.6345833333335,0.32,0.06035301558597936,82,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7552,Trio Gardens,7304.78,55.0,14.0,521.77,0.2545454545454545,0.07434165004680696,88,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7589,Fouka Bay,7335.62,17.0,15.0,489.04133333333334,0.8823529411764706,0.04732076407839246,87,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7612,Silversands - Ora Developments,740.25,7.0,6.0,123.375,0.8571428571428571,0.016187433439829604,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7623,Plage,93845.19,267.0,85.0,1104.0610588235295,0.31835205992509363,0.012719013435097301,84,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7702,Bloomfields ,5917.94,211.0,17.0,348.1141176470588,0.08056872037914692,0.11072238419177195,93,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7860,Trio Gardens,10630.47,76.0,49.0,216.94836734693877,0.6447368421052632,0.07485334545533259,89,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
7872,O West Orascom,3167.13,24.0,24.0,131.96375,1.0,0.03371581263753537,85,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8016,Plage,13047.97,30.0,15.0,869.8646666666666,0.5,0.034382412975119986,87,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8051,Trio Gardens,2116.87,15.0,10.0,211.68699999999998,0.6666666666666666,0.08175800584411712,93,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8103,Plage,3164.73,35.0,17.0,186.1605882352941,0.4857142857142857,0.06240132320878129,84,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8455,Vinci ,504.67,136.0,1.0,504.67,0.007352941176470588,0.06453089244851258,81,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8500,Veranda  Sahl Hasheesh,688.38,3.0,3.0,229.46,1.0,0.027253668763102725,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8520,Veranda  Sahl Hasheesh,1705.48,38.0,38.0,44.881052631578946,1.0,0.057586323248228544,88,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8521,Veranda  Sahl Hasheesh,6504.34,99.0,99.0,65.70040404040404,1.0,0.04593868667222377,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8586,Swanlake west GRAND Lunch,1643.63,5.0,3.0,547.8766666666667,0.6,0.016295913088463527,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8723,[East] Bayty exhibition - address investment,1755.75,9.0,4.0,438.9375,0.4444444444444444,0.015464730945242228,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8744,Hyde Park North - Seashore,9677.52,53.0,23.0,420.7617391304348,0.4339622641509434,0.03336277501204432,85,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8768,Plage,9393.24,35.0,16.0,587.0775,0.45714285714285713,0.023112532804703604,85,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8770,Veranda  Sahl Hasheesh,4850.9400000000005,48.0,48.0,101.06125000000002,1.0,0.0318724386621092,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8801,Shamasi - serac sidi abdelrahman,1095.7,18.0,3.0,365.23333333333335,0.16666666666666666,0.09226912169660105,89,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
8840,New Capital- General,4626.25,22.0,22.0,210.2840909090909,1.0,0.026696169430156038,91,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
9089,Veranda  Sahl Hasheesh,1702.18,7.0,7.0,243.16857142857143,1.0,0.03191676952918356,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
9171,Ahly Sabour Ras hikma,4027.14,33.0,28.0,143.82642857142858,0.8484848484848485,0.03017221929758592,87,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
9310,Fouka Bay,4570.21,21.0,13.0,351.5546153846154,0.6190476190476191,0.07765701485107442,84,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
9476,Fouka Bay,7928.25,38.0,10.0,792.825,0.2631578947368421,0.031139229147036387,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
9773,Sarai,17207.2,87.0,31.0,555.0709677419355,0.3563218390804598,0.14070998155656772,85,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
9965,Bloomfields ,3299.08,15.0,10.0,329.908,0.6666666666666666,0.09649122807017543,82,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10276,Mountain View iCity October,864.63,16.0,9.0,96.07,0.5625,0.03593303389138424,96,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10503,SODIC East,1104.78,3.0,3.0,368.26,1.0,0.03723404255319149,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10511,Trio Gardens,14967.73,40.0,36.0,415.7702777777778,0.9,0.06952616517107185,92,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10542,SODIC East,11222.0,37.0,16.0,701.375,0.43243243243243246,0.030852009082831474,86,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10622,Ora Solana West,12103.61,40.0,30.0,403.45366666666666,0.75,0.01021203830369357,88,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10682,Telal East - PRE,5367.42,17.0,17.0,315.73058823529414,1.0,0.06378938282261545,93,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10876,Tuban - ElGOUNA,2182.91,4.0,4.0,545.7275,1.0,0.029789719626168224,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10877,Tuban - ElGOUNA,1980.06,5.0,3.0,660.02,0.6,0.021027335536197057,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
10917,Bloomfields ,1298.86,10.0,6.0,216.47666666666666,0.6,0.06713705366688048,85,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11011,wesal - shourok city,1272.64,7.0,5.0,254.52800000000002,0.7142857142857143,0.06883737391612105,82,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11241,Mountain View ICity New Cairo,8916.09,46.0,23.0,387.65608695652173,0.5,0.05293324342548887,89,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11242,Mountain View ICity New Cairo,8897.67,39.0,15.0,593.178,0.38461538461538464,0.07358261010625355,94,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11340,Mountain View iCity October,77044.8,177.0,43.0,1791.739534883721,0.24293785310734464,0.02325609533842069,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11433,Al Burouj,3395.94,31.0,3.0,1131.98,0.0967741935483871,0.1207715074588324,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11666,Al Burouj,1471.11,6.0,3.0,490.36999999999995,0.5,0.09836298932384342,84,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11670,Mountain View iCity October,6928.96,33.0,12.0,577.4133333333333,0.36363636363636365,0.04572847629743282,82,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11837,Kings Way,11991.17,29.0,9.0,1332.3522222222223,0.3103448275862069,0.02310432675379549,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11838,Kings Way,87029.51,216.0,63.0,1381.4207936507935,0.2916666666666667,0.01983372826451964,82,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
11840,Kings Way,133905.5,423.0,123.0,1088.6626016260163,0.2907801418439716,0.028320996182172896,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
12528,Garden City - NC - cityedge,2320.77,4.0,4.0,580.1925,1.0,0.03208556149732621,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13226,Ivoire West - PRE,2461.23,7.0,5.0,492.246,0.7142857142857143,0.02797082797082797,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13268,Il Monte Galala,5765.48,20.0,5.0,1153.096,0.25,0.060001907850806065,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13488,Garden City - NC - cityedge,6534.67,73.0,9.0,726.0744444444445,0.1232876712328767,0.07238303110287679,82,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13547,Isola centra,6986.95,43.0,13.0,537.4576923076922,0.3023255813953488,0.05458464599568894,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13609,Isola centra,23917.98,148.0,31.0,771.5477419354838,0.20945945945945946,0.04217012764065774,86,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13634,New zayed / zayed - general,5146.57,69.0,10.0,514.6569999999999,0.14492753623188406,0.037071153688692376,83,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13635,New zayed / zayed - general,2662.68,22.0,11.0,242.06181818181815,0.5,0.042904435460244916,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13697,[SA] cityscape riyadh 2024,551.74,5.0,3.0,183.91333333333333,0.6,0.02904040404040404,85,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13833,Il Monte Galala,13187.64,55.0,15.0,879.1759999999999,0.2727272727272727,0.08406253183758024,87,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13834,Il Monte Galala,13183.67,67.0,21.0,627.7938095238095,0.31343283582089554,0.07027898425217831,89,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
13976,New Cairo Villas General,87650.77,117.0,92.0,952.7257608695653,0.7863247863247863,0.044390230763014814,85,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
14482,Solay - Living Yards - New Cairo,3478.3,16.0,11.0,316.20909090909095,0.6875,0.015824573301684186,87,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
14605,Capital Heights - SUD - New Capital,13350.64,42.0,19.0,702.6652631578947,0.4523809523809524,0.01192649986017207,93,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
14870,Fifth Square Al Marasem,5152.0,28.0,9.0,572.4444444444445,0.32142857142857145,0.06338159738439982,82,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
14941,Next Life - Zahra Maadi,1692.2,15.0,2.0,846.1,0.13333333333333333,0.05043441407077771,81,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
15000,Tatweer Misr New Project - Mostakbal City,4376.37,13.0,4.0,1094.0925,0.3076923076923077,0.03616179052948004,82,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
15042,Tatweer Misr New Project - Mostakbal City,1747.63,6.0,5.0,349.526,0.8333333333333334,0.025525525525525526,85,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
15149,Almaza Avenue Mall,2505.23,10.0,8.0,313.15375,0.8,0.026455026455026454,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
15197,Bahja - october,7440.07,35.0,30.0,248.00233333333333,0.8571428571428571,0.07829679482907977,87,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
15223,New Capital- General,1926.7,21.0,5.0,385.34000000000003,0.23809523809523808,0.096031357177854,80,INCREASE_BUDGET,Excellent performance - increase budget by 30-50%
